1164976515546 1 0 17,9 3 52,34 23,2 2 1
1164976548187 2 0 23,78 3 55,25 23,82 92 119
1164976551468 3 0 19,97 3 61,31 24,04 47 63
1164976564656 4 0 25,85 3 55,61 23,52 100 120
1164976567484 5 0 25,74 3 52,28 23,87 308 306
1164976568890 6 0 18,83 3 55,92 23,5 24 48
1164976573656 7 0 18,32 3 55,27 23,54 25 38
1164976575468 1 1 17,9 3 48,04 23,54 1 2
1164976581890 8 0 21,31 3 55,7 23,88 43 77
1164976590156 9 0 22,86 3 53,25 23,58 22 50
1164976595953 10 0 21,82 3 53,73 25,04 91 142
1164976599687 11 0 22,86 3 51,93 24,35 214 167
1164976605359 14 0 19,66 3 56,04 23,92 31 57
1164976608203 2 1 24,2 3 47,23 24,1 78 62
1164976609203 15 0 21,62 3 53,57 23,62 27 51
1164976609828 12 0 25,33 3 51,24 24,64 168 272
1164976611468 3 1 20,07 3 50,07 24,02 72 90
1164976613296 16 0 24,61 3 50,55 23,79 34 62
1164976616265 13 0 23,78 3 48,96 23,95 116 52
1164976618000 17 0 21,72 3 52,32 23,52 46 77
1164976624625 4 1 26,57 3 50,58 24,03 86 121
1164976627484 5 1 26,26 3 46,36 24,42 340 406
1164976628890 6 1 19,25 3 51,45 23,83 19 44
1164976633656 7 1 18,42 3 51,37 23,77 29 40
1164976635453 1 2 18,32 3 47,75 23,8 1 1
1164976641890 8 1 21,72 3 48,08 24,12 32 54
1164976649640 19 0 22,13 3 57,65 24,35 97 77
1164976650156 9 1 22,96 3 49,79 23,9 33 60
1164976655953 10 1 22,13 3 49,09 24,44 168 183
1164976658500 20 0 22,96 3 55,42 23,91 39 68
1164976659687 11 1 23,27 3 46,23 24,44 204 291
1164976665359 14 1 19,97 3 50,06 23,98 32 45
1164976668187 2 2 24,51 3 46,52 24,45 101 122
1164976669203 15 1 21,72 3 47,69 23,88 39 56
1164976669828 12 1 25,74 3 46,7 24,58 171 176
1164976671468 3 2 20,38 3 49,46 24,32 57 58
1164976673312 16 1 24,61 3 46,2 24,19 26 49
1164976676265 13 1 24,09 3 46,55 24,36 372 614
1164976678000 17 1 22,03 3 48,28 23,89 18 60
1164976684625 4 2 26,98 3 49,77 24,48 63 98
1164976687468 5 2 26,67 3 45,45 24,83 263 410
1164976688890 6 2 19,55 3 50,66 24,19 25 43
1164976693656 7 2 18,73 3 50,87 24,04 32 46
1164976695468 1 3 18,32 3 47,54 23,94 2 1
1164976701906 8 2 22,03 3 47,53 24,43 33 54
1164976709656 19 1 22,55 3 46,56 24,48 84 115
1164976710171 9 2 22,96 3 49,28 24,17 30 50
1164976715968 10 2 22,13 3 49,18 24,66 93 144
1164976718500 20 1 23,37 3 49,52 24,23 62 74
1164976719687 11 2 23,68 3 45,41 24,74 139 223
1164976725359 14 2 20,07 3 49,17 24,27 32 45
1164976728203 2 3 24,71 3 46,03 24,74 102 101
1164976729203 15 2 22,03 3 47,37 24,16 34 44
1164976729843 12 2 25,85 3 45,49 24,84 142 196
1164976731468 3 3 20,79 3 49,07 24,52 48 72
1164976733312 16 2 25,02 3 45,65 24,52 28 59
1164976736265 13 2 24,61 3 45,74 24,72 201 71
1164976738015 17 2 22,44 3 47,7 24,18 44 69
1164976744625 4 3 26,98 3 49,19 24,74 73 84
1164976747468 5 3 27,09 3 44,74 25,19 211 358
1164976748906 6 3 19,66 3 50,27 24,37 27 46
1164976753656 7 3 18,73 3 50,54 24,23 32 46
1164976755468 1 4 18,42 3 47,45 24,04 1 1
1164976761906 8 3 22,03 3 47,03 24,59 34 54
1164976764984 18 2 22,13 3 47,37 24,68 126 108
1164976769656 19 2 22,86 3 45,96 24,98 91 124
1164976770171 9 3 23,27 3 48,83 24,39 28 45
1164976775968 10 3 22,55 3 49,01 24,83 133 182
1164976778500 20 2 23,78 3 48,79 24,62 50 61
1164976779687 11 3 23,78 3 45,4 24,93 230 310
1164976785359 14 3 20,38 3 49,74 24,46 22 48
1164976788203 2 4 25,02 3 45,7 24,93 58 65
1164976789203 15 3 22,13 3 47,82 24,37 22 45
1164976789843 12 3 25,85 3 45,77 25,02 203 293
1164976791468 3 4 20,9 3 48,83 24,7 66 89
1164976793312 16 3 25,33 3 45,21 24,72 38 62
1164976796281 13 3 24,61 3 45,1 24,94 166 450
1164976798015 17 3 22,44 3 47,33 24,39 19 54
1164976804625 4 4 27,39 3 48,67 24,95 89 125
1164976807484 5 4 27,39 3 44,26 25,34 311 310
1164976808906 6 4 19,66 3 50 24,5 24 49
1164976813656 7 4 19,14 3 50,24 24,39 22 41
1164976815468 1 5 18,32 3 47,46 24,11 1 1
1164976821906 8 4 22,13 3 46,79 24,75 31 55
1164976829656 19 3 22,86 3 45,29 25,14 90 123
1164976830171 9 4 23,68 3 48,42 24,52 28 45
1164976835968 10 4 22,55 3 48,77 24,98 138 186
1164976838500 20 3 23,89 3 48,21 24,89 51 61
1164976839687 11 4 24,09 3 45,58 25,08 236 313
1164976845375 14 4 20,38 3 49,75 24,57 24 50
1164976848203 2 5 25,33 3 45,38 25,05 53 83
1164976849203 15 4 22,13 3 47,61 24,52 26 49
1164976851484 3 5 20,9 3 48,62 24,81 71 91
1164976853312 16 4 25,43 3 44,73 24,88 38 57
1164976856281 13 4 24,61 3 44,89 25,12 233 542
1164976858015 17 4 22,55 3 46,96 24,54 19 63
1164976864625 4 5 27,5 3 48,4 25,1 91 126
1164976867484 5 5 27,5 3 43,85 25,54 302 290
1164976868906 6 5 19,97 3 49,72 24,6 23 49
1164976873671 7 5 19,14 3 50 24,49 22 39
1164976875468 1 6 18,42 3 47,5 24,14 2 1
1164976881906 8 5 22,13 3 46,44 24,86 24 45
1164976889656 19 4 22,96 3 44,61 25,26 117 118
1164976890171 9 5 23,68 3 48,27 24,63 29 59
1164976895968 10 5 22,86 3 48,5 25,14 170 184
1164976898500 20 4 24,2 3 47,64 25,06 47 77
1164976899703 11 5 23,99 3 45,1 25,21 266 307
1164976905375 14 5 20,48 3 49,09 24,68 25 51
1164976908203 2 6 25,13 3 45,06 25,17 56 88
1164976909218 15 5 22,44 3 46,64 24,62 24 48
1164976909843 12 5 26,26 3 44,95 25,33 234 303
1164976911484 3 6 21,21 3 48,31 24,91 66 90
1164976913328 16 5 25,74 3 44,15 25,01 38 57
1164976916281 13 5 24,92 3 44,61 25,22 218 524
1164976918015 17 5 22,86 3 46,84 24,64 27 67
1164976924640 4 6 27,39 3 48,15 25,22 95 127
1164976927500 5 6 27,5 3 43,53 25,67 283 255
1164976928906 6 6 20,07 3 49,48 24,7 24 49
1164976933671 7 6 19,25 3 49,75 24,58 23 40
1164976935484 1 7 18,42 3 47,5 24,19 2 1
1164976941921 8 6 22,55 3 46,06 24,94 25 47
1164976949656 19 5 23,06 3 44,03 25,38 76 86
1164976950187 9 6 23,68 3 48,15 24,69 36 58
1164976955984 10 6 22,96 3 48,31 25,18 110 100
1164976958515 20 5 24,51 3 47,57 25,24 69 87
1164976959703 11 6 24,09 3 44,95 25,29 174 144
1164976965375 14 6 20,79 3 48,29 24,77 37 58
1164976968218 2 7 25,43 3 44,85 25,29 101 122
1164976969218 15 6 22,44 3 46,59 24,75 35 59
1164976969859 12 6 26,26 3 44,76 25,42 224 218
1164976971484 3 7 21,31 3 48,09 24,99 75 88
1164976973328 16 6 25,74 3 44,43 25,12 29 50
1164976976296 13 6 25,33 3 44,62 25,33 313 610
